City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
186,Oistins,BB,77.0,broken clouds,13.07,-59.53,Butterfly Beach Hotel
192,Petropavlovka,RU,66.0,scattered clouds,50.61,105.32,Tuyaa
196,Sangre Grande,TT,77.0,few clouds,10.58,-61.12,"La Aurora Housing Development, Bravo Hill Sangre Grande"
197,Karnobat,BG,70.0,few clouds,42.65,26.98,Spa Hotel Park
200,Norman Wells,CA,66.2,scattered clouds,65.28,-126.83,Heritage Hotel
206,Lianran,CN,77.0,scattered clouds,24.92,102.48,Jinzhouwan Hotel
209,Harper,LR,75.65,overcast clouds,4.38,-7.72,Screensaver
211,Emure,NG,68.79,overcast clouds,7.44,5.46,Sunrise Hotel and Resort
212,Lompoc,US,68.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
215,Praia Da Vitoria,PT,73.4,scattered clouds,38.73,-27.07,Hotel Branco I
216,Benghazi,LY,78.08,clear sky,32.12,20.07,Tibesti Hotel
217,Isangel,VU,78.8,overcast clouds,-19.55,169.27,Volcano Sea View Tree House
219,Pafos,CY,73.4,clear sky,34.77,32.42,Elysium Hotel
221,Odienne,CI,68.72,scattered clouds,9.51,-7.57,Oustaz Vame DIAKITE
222,Jacqueville,CI,75.2,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
224,Touros,BR,68.0,few clouds,-5.2,-35.46,INN NEW HORIZON
231,Conakry,GN,79.03,moderate rain,9.54,-13.68,Riviera Royal Hotel
234,Nantucket,US,70.0,mist,41.28,-70.1,Jared Coffin House
235,Vila Velha,BR,66.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
246,Dabakala,CI,69.19,clear sky,8.37,-4.43,Hôtel Campement
247,Petropavlovsk-Kamchatskiy,RU,66.2,scattered clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
248,Cabedelo,BR,69.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
249,Linxia,CN,71.69,clear sky,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
