City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Avarua,CK,-21.21,-159.78,73.4,73,8,4.7,clear sky
142,Lebu,CL,-37.62,-73.65,50.47,91,100,17.36,light rain
143,Sobolevo,RU,54.43,31.9,61.72,98,100,6.38,overcast clouds
144,Half Moon Bay,US,37.46,-122.43,68.0,100,90,2.39,overcast clouds
145,Hoyanger,NO,61.22,6.07,42.8,93,75,2.24,light intensity shower rain
146,Ostrovnoy,RU,68.05,39.51,57.2,84,4,19.57,clear sky
147,Longyearbyen,SJ,78.22,15.64,37.4,74,52,3.36,broken clouds
148,Kroya,ID,-7.63,109.25,82.44,70,92,10.47,overcast clouds
149,Castro,BR,-24.79,-50.01,49.01,87,65,14.79,broken clouds
150,Yerbogachen,RU,61.28,108.01,62.98,38,43,10.71,scattered clouds
151,Sinnamary,GF,5.38,-52.95,78.58,88,16,8.7,light rain
152,Hobyo,SO,5.35,48.53,76.51,75,93,22.03,overcast clouds
153,Port Macquarie,AU,-31.43,152.92,68.0,34,0,8.68,clear sky
154,Bathsheba,BB,13.22,-59.52,77.0,88,75,6.93,broken clouds
155,Palmer,US,42.16,-72.33,66.99,100,75,3.04,light rain
156,Luanda,AO,-8.84,13.23,69.8,88,20,1.12,few clouds
157,Mendi,PG,-6.18,143.65,64.45,76,75,5.32,light rain
158,Airai,TL,-8.93,125.41,76.66,36,0,7.74,clear sky
159,Muros,ES,42.78,-9.06,62.01,85,2,5.01,clear sky
160,Geilo,NO,60.53,8.21,36.0,78,3,5.66,clear sky
161,Sioux Lookout,CA,50.1,-91.92,69.8,88,75,5.82,broken clouds
162,Shingu,JP,33.73,135.98,86.0,79,20,5.82,few clouds
163,Chapais,CA,49.78,-74.85,48.2,93,1,2.24,clear sky
164,Kedrovyy,RU,56.17,91.82,59.0,87,75,4.47,broken clouds
165,Fairbanks,US,64.84,-147.72,62.01,82,90,9.17,moderate rain
166,Kodiak,US,57.79,-152.41,59.0,82,90,6.4,overcast clouds
167,Hamilton,US,39.18,-84.53,73.0,94,1,3.11,clear sky
168,Bhadrapur,NP,26.54,88.09,87.94,67,38,4.94,light rain
169,Tazmalt,DZ,36.39,4.4,77.0,83,40,2.24,scattered clouds
170,Fasa,IR,28.94,53.65,78.8,36,20,4.7,few clouds
171,Megion,RU,61.03,76.11,55.4,93,75,6.71,broken clouds
172,Lemoore,US,36.3,-119.78,87.8,48,90,6.93,haze
173,Capelinha,BR,-17.69,-42.52,49.8,100,54,3.83,broken clouds
174,Kavieng,PG,-2.57,150.8,76.6,88,100,4.16,light rain
175,Saint George,US,37.1,-113.58,71.01,88,75,25.28,thunderstorm with heavy rain
176,Knysna,ZA,-34.04,23.05,55.4,100,90,5.82,overcast clouds
177,Sitka,US,57.05,-135.33,57.2,87,90,6.93,mist
178,Lagoa,PT,39.05,-27.98,72.77,89,0,18.81,clear sky
179,Osypenko,UA,46.91,36.83,64.99,100,0,8.01,clear sky
180,Kiama,AU,-34.68,150.87,64.0,41,0,7.0,clear sky
181,Fortuna,US,40.6,-124.16,57.0,100,90,5.82,overcast clouds
182,Houma,US,29.6,-90.72,78.01,94,1,4.7,clear sky
183,Shiyan,CN,32.65,110.78,78.8,69,98,9.31,overcast clouds
184,Tuatapere,NZ,-46.13,167.68,55.99,79,9,8.01,clear sky
185,Berea,US,41.37,-81.85,75.99,83,20,5.82,few clouds
186,Oistins,BB,13.07,-59.53,77.0,88,75,6.93,broken clouds
187,Hambantota,LK,6.12,81.12,89.6,66,20,8.05,few clouds
188,Severo-Kurilsk,RU,50.68,156.12,54.28,85,52,5.1,broken clouds
189,Buin,CL,-33.73,-70.75,52.0,66,100,6.93,overcast clouds
190,Katsuura,JP,35.13,140.3,91.99,66,40,14.99,scattered clouds
191,Aksu,CN,41.12,80.26,87.42,21,0,3.02,clear sky
192,Petropavlovka,RU,50.61,105.32,66.0,51,35,1.81,scattered clouds
193,Mount Gambier,AU,-37.83,140.77,50.0,71,75,10.29,light intensity shower rain
194,Talas,TR,38.69,35.55,55.4,71,0,6.93,clear sky
195,Cidreira,BR,-30.18,-50.21,60.33,84,0,14.2,clear sky
196,Sangre Grande,TT,10.58,-61.12,77.0,88,20,3.96,few clouds
197,Karnobat,BG,42.65,26.98,70.0,94,20,5.82,few clouds
198,Walvis Bay,NA,-22.96,14.51,53.01,100,0,6.93,clear sky
199,Dikson,RU,73.51,80.55,46.47,80,0,13.11,clear sky
200,Norman Wells,CA,65.28,-126.83,66.2,48,40,8.05,scattered clouds
201,Zykovo,RU,55.95,93.15,59.0,87,75,4.47,broken clouds
202,Lasa,IT,46.62,10.7,54.0,100,5,5.82,clear sky
203,Talnakh,RU,69.49,88.4,60.8,72,99,20.13,overcast clouds
204,Namibe,AO,-15.2,12.15,63.43,92,97,2.26,overcast clouds
205,Kruisfontein,ZA,-34.0,24.73,54.0,92,100,1.99,light rain
206,Lianran,CN,24.92,102.48,77.0,73,40,11.18,scattered clouds
207,Sidney,AU,-33.87,151.21,64.0,33,0,10.29,clear sky
208,Kahului,US,20.89,-156.47,86.0,51,40,19.46,scattered clouds
209,Harper,LR,4.38,-7.72,75.65,82,100,7.09,overcast clouds
210,Matagami,CA,49.75,-77.63,44.6,87,1,4.03,clear sky
211,Emure,NG,7.44,5.46,68.79,97,100,3.53,overcast clouds
212,Lompoc,US,34.64,-120.46,68.0,88,1,4.09,clear sky
213,Sao Joao Da Barra,BR,-21.64,-41.05,63.21,74,7,11.65,clear sky
214,Sri Aman,MY,1.24,111.46,86.0,74,40,2.24,scattered clouds
215,Praia Da Vitoria,PT,38.73,-27.07,73.4,88,40,8.37,scattered clouds
216,Benghazi,LY,32.12,20.07,78.08,78,0,9.91,clear sky
217,Isangel,VU,-19.55,169.27,78.8,100,90,6.11,overcast clouds
218,Cabo San Lucas,MX,22.89,-109.91,84.99,60,13,3.0,few clouds
219,Pafos,CY,34.77,32.42,73.4,49,0,6.93,clear sky
220,Huambo,AO,-12.78,15.74,54.18,65,11,3.47,few clouds
221,Odienne,CI,9.51,-7.57,68.72,96,28,4.27,scattered clouds
222,Jacqueville,CI,5.21,-4.41,75.2,100,40,3.36,scattered clouds
223,Leca Da Palmeira,PT,41.19,-8.7,64.0,93,0,4.92,clear sky
224,Touros,BR,-5.2,-35.46,68.0,100,20,3.36,few clouds
225,Taraz,KZ,42.9,71.37,80.6,22,90,8.95,overcast clouds
226,Nanortalik,GL,60.14,-45.24,42.1,87,30,7.29,scattered clouds
227,Thompson,CA,55.74,-97.86,53.6,100,90,10.29,light rain
228,Awjilah,LY,29.11,21.29,72.75,60,0,7.76,clear sky
229,Gawler,AU,-34.6,138.73,54.0,62,89,1.99,overcast clouds
230,North Bend,US,43.41,-124.22,62.01,93,1,14.99,clear sky
231,Conakry,GN,9.54,-13.68,79.03,81,100,6.69,moderate rain
232,Geraldton,AU,-28.77,114.6,64.4,55,6,8.05,clear sky
233,Klaksvik,FO,62.23,-6.59,44.6,100,97,13.11,light rain
234,Nantucket,US,41.28,-70.1,70.0,100,75,8.05,mist
235,Vila Velha,BR,-20.33,-40.29,66.2,72,75,11.41,broken clouds
236,Road Town,VG,18.42,-64.62,82.99,84,0,14.0,clear sky
237,Timmins,CA,48.47,-81.33,57.2,93,40,2.89,scattered clouds
238,Kathmandu,NP,27.72,85.32,80.6,69,40,2.24,scattered clouds
239,Playa Del Carmen,MX,20.63,-87.08,80.01,100,75,3.69,broken clouds
240,Mariental,NA,-24.63,17.97,51.58,43,0,5.7,clear sky
241,Marzuq,YE,14.4,46.47,78.89,60,100,8.61,overcast clouds
242,Carhuamayo,PE,-10.92,-76.03,34.81,88,54,0.81,broken clouds
243,Pontianak,ID,-0.03,109.33,91.4,58,99,1.23,overcast clouds
244,Sakakah,SA,29.97,40.21,80.6,19,0,4.7,clear sky
245,Mongo,TD,12.18,18.69,72.79,87,100,2.33,overcast clouds
246,Dabakala,CI,8.37,-4.43,69.19,94,6,4.94,clear sky
247,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,66.2,45,40,4.47,scattered clouds
248,Cabedelo,BR,-6.98,-34.83,69.8,94,75,4.7,broken clouds
249,Linxia,CN,35.6,103.21,71.69,43,0,2.51,clear sky
250,Kampot,KH,10.62,104.18,91.4,63,20,8.05,few clouds
251,Salisbury,GB,51.07,-1.8,57.0,93,95,6.93,overcast clouds
252,Vestmannaeyjar,IS,63.44,-20.27,51.75,73,45,4.43,scattered clouds
253,Kolosovka,RU,56.47,73.61,56.68,84,9,8.99,clear sky
254,Katherine,AU,-14.47,132.27,91.4,13,0,16.11,clear sky
255,Ous,RU,60.91,61.52,56.88,64,0,3.76,clear sky
256,Leningradskiy,RU,69.38,178.42,44.62,87,99,10.29,overcast clouds
257,Bacabal,BR,-4.29,-44.79,73.04,94,47,4.27,scattered clouds
258,Kavaratti,IN,10.57,72.64,84.2,74,20,6.93,few clouds
259,Kankon,IN,15.02,74.02,80.6,88,75,11.41,broken clouds
260,Buala,SB,-8.14,159.59,84.61,71,58,6.13,light rain
261,Ilulissat,GL,69.22,-51.1,37.4,74,0,2.24,clear sky
262,Arlit,NE,18.74,7.39,87.73,41,99,9.84,overcast clouds
263,Vaini,TO,-21.2,-175.2,78.8,83,20,8.05,few clouds
264,Sistranda,NO,63.73,8.83,46.4,87,75,21.92,shower rain
265,Port Augusta,AU,-32.5,137.77,60.01,58,90,10.29,overcast clouds
266,Siyana,IN,28.63,78.06,84.85,74,4,12.48,clear sky
267,Malente,DE,54.17,10.56,59.0,93,57,5.82,broken clouds
268,Honningsvag,NO,70.98,25.97,53.6,87,75,18.34,light intensity shower rain
269,Tuktoyaktuk,CA,69.45,-133.04,62.6,77,75,5.82,broken clouds
270,Shimoda,JP,34.67,138.95,86.0,66,20,11.41,few clouds
271,San Jorge,AR,-31.9,-61.86,57.0,63,0,4.0,clear sky
272,Morgantown,US,39.63,-79.96,71.6,83,1,3.67,clear sky
273,Calama,CL,-22.47,-68.93,53.6,54,38,9.17,scattered clouds
274,Korla,CN,41.76,86.15,88.3,21,19,4.85,few clouds
275,Ancud,CL,-41.87,-73.82,39.0,100,90,12.75,overcast clouds
276,Marsh Harbour,BS,26.54,-77.06,85.32,76,3,25.03,clear sky
277,Richards Bay,ZA,-28.78,32.04,58.95,80,0,3.65,clear sky
278,Saldanha,ZA,-33.01,17.94,50.0,93,91,4.7,overcast clouds
279,Yumen,CN,40.28,97.2,86.83,12,24,15.03,few clouds
280,Pevek,RU,69.7,170.31,38.08,96,100,2.98,light rain
281,Taoudenni,ML,22.68,-3.98,92.44,12,0,0.16,clear sky
282,Ugoofaaru,MV,5.67,73.0,84.24,67,36,6.26,light rain
283,Gympie,AU,-26.19,152.66,69.01,28,0,1.01,clear sky
284,Daru,PG,-9.08,143.21,79.93,65,87,13.49,overcast clouds
285,Iranshahr,IR,27.2,60.68,95.0,41,95,4.07,overcast clouds
286,Souillac,MU,-20.52,57.52,71.6,73,75,14.99,shower rain
287,Chernyshevsk,RU,52.52,117.02,57.72,82,100,5.95,overcast clouds
288,Ende,ID,-8.84,121.66,87.73,43,0,3.2,clear sky
289,Herat,AF,34.5,62.0,87.8,31,75,9.17,broken clouds
290,Lata,PT,40.16,-8.33,64.0,86,7,2.82,clear sky
291,Kaseda,JP,31.42,130.32,89.6,62,75,8.05,broken clouds
292,Horodenka,UA,48.67,25.5,66.99,93,90,4.47,overcast clouds
293,Bandarbeyla,SO,9.49,50.81,78.35,65,46,30.22,scattered clouds
294,Durazno,UY,-33.41,-56.5,51.33,88,0,13.71,clear sky
295,Santa Maria,BR,-29.68,-53.81,51.8,87,0,2.24,clear sky
296,Punto Fijo,VE,11.7,-70.2,83.32,74,13,22.79,few clouds
297,Vila Franca Do Campo,PT,37.72,-25.43,69.8,94,20,3.36,few clouds
298,Nizwa,OM,22.93,57.53,89.15,46,97,1.81,overcast clouds
299,San Felipe,VE,10.34,-68.74,72.52,91,83,3.29,broken clouds
300,Guerrero Negro,MX,27.98,-114.06,74.75,72,0,17.98,clear sky
301,Kloulklubed,PW,7.04,134.26,87.8,66,75,11.41,broken clouds
302,Chippewa Falls,US,44.94,-91.39,73.0,94,1,1.5,clear sky
303,Ovalle,CL,-30.6,-71.2,50.85,74,97,4.07,overcast clouds
304,Champasak,LA,14.75,106.0,86.0,74,40,2.24,scattered clouds
305,Dharchula,IN,29.85,80.53,77.67,65,43,4.14,scattered clouds
306,Yasinya,UA,48.28,24.36,61.09,87,94,1.7,light rain
307,Mirabad,AF,30.44,61.84,91.26,23,0,11.21,clear sky
308,Abu Zabad,SD,12.35,29.25,73.98,81,99,12.03,overcast clouds
309,Grindavik,IS,63.84,-22.43,46.4,100,3,4.7,clear sky
310,Beipiao,CN,41.79,120.78,66.0,93,100,2.28,moderate rain
311,Hyeres,FR,43.12,6.12,71.01,46,20,5.82,few clouds
312,Mount Isa,AU,-20.73,139.5,80.6,12,0,12.75,clear sky
313,Enshi,CN,30.3,109.48,89.1,64,57,3.2,light rain
314,Solnechnyy,RU,50.72,136.63,68.56,69,94,3.18,overcast clouds
315,Lodwar,KE,3.12,35.6,77.58,59,69,17.94,broken clouds
316,Port Blair,IN,11.67,92.75,84.97,74,70,11.12,broken clouds
317,Ambilobe,MG,-13.2,49.05,68.99,66,59,3.24,broken clouds
318,Honiara,SB,-9.43,159.95,87.8,70,75,6.93,shower rain
319,Puerto Escondido,MX,15.85,-97.07,79.05,80,100,4.23,light rain
320,Komsomolets,KZ,53.75,62.07,57.4,79,0,7.54,clear sky
321,San Carlos,VE,9.66,-68.58,73.33,94,69,0.89,light rain
322,San Patricio,MX,19.22,-104.7,80.62,83,92,1.54,overcast clouds
323,Krasnogorsk,RU,55.82,37.32,62.6,63,85,6.71,overcast clouds
324,Thaton,MM,16.92,97.37,79.21,88,99,6.82,moderate rain
325,Haines Junction,CA,60.75,-137.51,55.89,68,71,4.21,broken clouds
326,Mouila,GA,-1.87,11.06,72.81,77,100,2.51,overcast clouds
327,Jizan,SA,17.33,42.67,89.6,79,40,6.93,scattered clouds
328,Naryan-Mar,RU,67.67,53.09,56.59,85,100,9.15,overcast clouds
329,Jiuquan,CN,39.74,98.52,86.16,13,0,6.93,clear sky
330,Kovur,IN,14.48,79.98,88.81,55,100,10.09,overcast clouds
331,Lazaro Cardenas,MX,17.96,-102.2,79.52,86,54,2.39,light rain
332,Bud,US,39.45,-86.18,72.0,88,1,4.88,clear sky
333,Monkey Bay,MW,-14.07,34.92,66.74,74,92,7.72,overcast clouds
334,Narsaq,GL,60.92,-46.05,42.8,81,6,3.36,clear sky
335,Atar,MR,20.52,-13.05,86.16,55,21,9.78,few clouds
336,Sume,BR,-7.67,-36.88,64.69,87,98,7.49,overcast clouds
337,Kirakira,SB,-10.45,161.92,85.28,66,94,5.82,light rain
338,Qui Nhon,VN,13.77,109.23,89.35,60,67,1.1,broken clouds
339,Cayenne,GF,4.93,-52.33,73.4,100,20,10.83,few clouds
340,Bama,NG,11.52,13.69,71.02,86,100,10.51,overcast clouds
341,Ola,RU,59.58,151.28,53.28,50,28,9.06,scattered clouds
342,Ust-Tsilma,RU,65.44,52.15,57.11,95,100,5.64,light rain
343,Cenade,RO,46.06,24.01,63.0,100,35,2.24,scattered clouds
344,Morgan City,US,29.7,-91.21,77.0,94,1,5.82,clear sky
345,Henties Bay,NA,-22.12,14.28,53.01,93,0,1.01,clear sky
346,Yeppoon,AU,-23.13,150.73,77.0,16,4,4.7,clear sky
347,El Roble,CO,9.1,-75.2,74.73,93,49,5.95,light rain
348,Marawi,PH,8.0,124.29,86.0,77,81,5.01,light rain
349,Kashipur,IN,29.22,78.95,82.4,83,75,6.93,mist
350,Maldonado,UY,-34.67,-54.92,55.4,87,0,18.34,clear sky
351,Ahipara,NZ,-35.17,173.17,57.58,78,85,16.55,light rain
352,Torbay,CA,47.67,-52.73,60.01,87,5,12.75,clear sky
353,Kasempa,ZM,-13.46,25.83,52.97,79,51,6.17,broken clouds
354,Bambous Virieux,MU,-20.34,57.76,73.0,73,75,14.99,shower rain
355,Ozernovskiy,RU,51.5,156.52,51.87,90,100,3.96,overcast clouds
356,Charters Towers,AU,-20.1,146.27,76.84,18,3,7.31,clear sky
357,General Teran,MX,25.27,-99.68,76.15,74,24,6.78,moderate rain
358,Onokhoy,RU,51.93,108.07,64.4,72,75,4.47,broken clouds
359,Benguela,AO,-12.58,13.41,67.35,88,52,1.77,broken clouds
360,Perth,AU,-31.93,115.83,68.0,52,40,3.36,scattered clouds
361,Kyaukse,MM,21.6,96.13,82.4,83,75,8.05,broken clouds
362,Mahon,ES,39.89,4.27,75.2,57,0,8.05,clear sky
363,Moree,AU,-29.47,149.85,59.0,33,0,12.75,clear sky
364,Farafenni,GM,13.57,-15.6,75.43,86,96,2.64,overcast clouds
365,Tres Arroyos,AR,-38.37,-60.28,51.04,76,0,15.37,clear sky
366,Qasigiannguit,GL,68.82,-51.19,37.4,74,0,2.24,clear sky
