City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Yabelo,ET,2020-08-23 03:38:06,4.88,38.08,57.0,87,98,14.12
102,Sao Joao Da Barra,BR,2020-08-23 03:38:07,-21.64,-41.05,63.99,77,55,11.9
103,Kedrovyy,RU,2020-08-23 03:38:07,56.17,91.82,64.4,72,20,4.47
104,Atasu,KZ,2020-08-23 03:38:07,48.68,71.64,65.37,43,24,2.8
105,Borba,BR,2020-08-23 03:38:08,-4.39,-59.59,74.23,56,0,2.89
106,Balabac,PH,2020-08-23 03:38:08,7.99,117.06,86.86,69,92,10.94
107,Pevek,RU,2020-08-23 03:38:08,69.7,170.31,38.1,97,100,4.72
108,Lompoc,US,2020-08-23 03:38:08,34.64,-120.46,70.0,72,1,3.36
109,Filingue,NE,2020-08-23 03:38:08,14.35,3.32,81.25,67,0,13.82
110,Yulara,AU,2020-08-23 03:38:09,-25.24,130.99,71.6,23,0,5.82
111,Ulagan,RU,2020-08-23 03:38:09,50.63,87.96,62.82,41,87,1.34
112,Caravelas,BR,2020-08-23 03:38:09,-17.71,-39.25,68.95,90,100,16.82
113,Yaan,NG,2020-08-23 03:38:10,7.38,8.57,71.87,99,100,3.74
114,La Rioja,ES,2020-08-23 03:38:10,42.25,-2.5,66.2,72,90,4.7
115,Kavieng,PG,2020-08-23 03:38:10,-2.57,150.8,80.96,74,100,2.55
116,Port Macquarie,AU,2020-08-23 03:38:10,-31.43,152.92,64.99,27,0,18.34
117,Alghero,IT,2020-08-23 03:38:10,40.56,8.32,71.6,100,0,2.24
118,Hilo,US,2020-08-23 03:38:11,19.73,-155.09,82.4,69,90,6.93
119,Jepara,ID,2020-08-23 03:38:11,-5.17,105.7,88.12,63,44,8.08
120,Tasiilaq,GL,2020-08-23 03:38:11,65.61,-37.64,39.2,80,0,9.17
121,Bethel,US,2020-08-23 03:37:27,41.37,-73.41,70.0,83,1,3.36
122,Mount Gambier,AU,2020-08-23 03:38:11,-37.83,140.77,53.6,62,75,14.99
123,Susangerd,IR,2020-08-23 03:38:12,31.56,48.18,82.4,37,0,2.24
124,New Norfolk,AU,2020-08-23 03:38:12,-42.78,147.06,53.01,87,49,5.28
125,Upington,ZA,2020-08-23 03:38:12,-28.45,21.26,52.39,49,0,10.18
126,Apache Junction,US,2020-08-23 03:35:14,33.42,-111.55,100.4,27,20,4.7
127,Faanui,PF,2020-08-23 03:34:08,-16.48,-151.75,76.14,81,5,21.5
128,Belyy Yar,RU,2020-08-23 03:38:12,53.6,91.39,64.4,72,88,2.24
129,Longyearbyen,SJ,2020-08-23 03:34:39,78.22,15.64,35.6,74,68,8.05
130,Ilulissat,GL,2020-08-23 03:38:13,69.22,-51.1,37.4,86,0,3.36
131,Konevo,RU,2020-08-23 03:38:13,62.12,39.32,59.76,78,53,7.14
132,Sao Felix Do Xingu,BR,2020-08-23 03:38:13,-6.64,-51.99,73.85,40,8,0.6
133,Loa Janan,ID,2020-08-23 03:38:14,-0.58,117.09,87.03,70,36,4.83
134,Souillac,MU,2020-08-23 03:38:14,-20.52,57.52,71.6,78,75,12.75
135,High Level,CA,2020-08-23 03:38:14,58.52,-117.14,55.4,93,90,5.82
136,Porto Uniao,BR,2020-08-23 03:38:14,-26.24,-51.08,38.55,96,4,2.19
137,Zunyi,CN,2020-08-23 03:38:14,27.69,106.91,78.4,76,60,8.48
138,Taoudenni,ML,2020-08-23 03:38:15,22.68,-3.98,99.86,10,9,10.96
139,Camacha,PT,2020-08-23 03:38:15,33.08,-16.33,71.6,78,20,6.93
140,Port Augusta,AU,2020-08-23 03:38:15,-32.5,137.77,55.4,62,40,9.17
141,Saldanha,ZA,2020-08-23 03:38:15,-33.01,17.94,41.0,93,1,1.12
142,Dingle,PH,2020-08-23 03:38:16,11.0,122.67,87.82,64,100,4.05
143,Ekhabi,RU,2020-08-23 03:38:16,53.51,142.97,62.78,52,17,7.16
144,Hermanus,ZA,2020-08-23 03:38:16,-34.42,19.23,52.0,84,16,8.41
145,Aksu,CN,2020-08-23 03:38:16,41.12,80.26,83.93,26,0,3.96
146,Birobidzhan,RU,2020-08-23 03:38:16,48.8,132.95,74.59,61,99,7.05
147,Coldingham,GB,2020-08-23 03:38:17,55.89,-2.16,53.01,90,9,3.0
148,Aniva,RU,2020-08-23 03:38:17,46.71,142.53,73.4,64,20,11.18
149,Port Blair,IN,2020-08-23 03:38:17,11.67,92.75,84.06,75,95,13.58
150,Hasaki,JP,2020-08-23 03:38:17,35.73,140.83,81.0,94,75,3.36
151,Bayanday,RU,2020-08-23 03:38:17,53.07,105.51,59.65,75,96,5.82
152,Butaritari,KI,2020-08-23 03:38:18,3.07,172.79,83.08,67,98,7.9
153,Yarada,IN,2020-08-23 03:38:18,17.65,83.27,84.2,83,75,13.87
154,Turbat,PK,2020-08-23 03:38:18,26.0,63.04,88.45,62,63,4.79
155,Dikson,RU,2020-08-23 03:38:18,73.51,80.55,48.51,74,87,9.1
156,Sitka,US,2020-08-23 03:38:18,57.05,-135.33,59.0,87,90,4.7
157,Ilhabela,BR,2020-08-23 03:38:19,-23.78,-45.36,61.36,72,58,1.9
158,Saint Marys,US,2020-08-23 03:38:19,30.73,-81.55,82.4,88,1,9.17
159,Half Moon Bay,US,2020-08-23 03:38:19,37.46,-122.43,75.99,93,20,4.7
160,Villamontes,BO,2020-08-23 03:38:19,-21.25,-63.5,46.69,51,1,0.38
161,Port Elizabeth,ZA,2020-08-23 03:35:06,-33.92,25.57,53.6,100,6,6.93
162,Cockburn Town,TC,2020-08-23 03:38:20,21.46,-71.14,84.09,80,100,29.95
163,Geraldton,AU,2020-08-23 03:38:20,-28.77,114.6,66.2,72,90,10.29
164,Arraial Do Cabo,BR,2020-08-23 03:38:21,-22.97,-42.03,65.88,67,70,11.07
165,Tazmalt,DZ,2020-08-23 03:38:21,36.39,4.4,75.2,88,20,3.36
166,Severo-Kurilsk,RU,2020-08-23 03:38:21,50.68,156.12,56.73,62,27,11.68
167,Torata,PE,2020-08-23 03:38:22,-17.08,-70.84,52.34,46,2,1.54
168,Pringsewu,ID,2020-08-23 03:38:22,-5.36,104.97,88.77,57,36,5.06
169,Port Moresby,PG,2020-08-23 03:38:22,-9.44,147.18,86.0,66,40,16.31
170,Vestmannaeyjar,IS,2020-08-23 03:38:23,63.44,-20.27,51.24,77,8,3.89
171,Haines Junction,CA,2020-08-23 03:38:23,60.75,-137.51,58.41,72,93,4.81
172,Te Anau,NZ,2020-08-23 03:38:23,-45.42,167.72,51.08,69,58,1.54
173,Ulaanbaatar,MN,2020-08-23 03:34:31,47.91,106.88,66.2,52,75,4.47
174,Karratha,AU,2020-08-23 03:38:23,-20.74,116.85,88.97,14,0,3.0
175,Ostersund,SE,2020-08-23 03:38:24,63.18,14.64,55.4,82,27,10.29
176,Atambua,ID,2020-08-23 03:38:24,-9.11,124.89,86.29,37,6,4.16
177,Harper,LR,2020-08-23 03:38:24,4.38,-7.72,75.36,88,72,12.28
178,Tura,IN,2020-08-23 03:38:24,25.52,90.22,81.75,84,2,4.0
179,Iqaluit,CA,2020-08-23 03:38:24,63.75,-68.51,41.0,93,40,3.36
180,Hamilton,US,2020-08-23 03:38:25,39.18,-84.53,71.01,94,1,2.37
181,Turkistan,KZ,2020-08-23 03:38:25,43.0,68.0,88.57,17,56,16.46
182,Rocha,UY,2020-08-23 03:38:25,-34.48,-54.33,42.33,74,0,6.6
183,Sur,OM,2020-08-23 03:38:25,22.57,59.53,84.09,67,65,12.66
184,Havelock,US,2020-08-23 03:35:20,34.88,-76.9,81.0,78,1,5.82
185,Linxia,CN,2020-08-23 03:38:26,35.6,103.21,58.71,84,100,4.18
186,Saint-Joseph,RE,2020-08-23 03:38:26,-21.37,55.62,64.4,55,16,6.93
187,Merauke,ID,2020-08-23 03:38:26,-8.47,140.33,81.21,67,7,15.03
188,Beringovskiy,RU,2020-08-23 03:38:26,63.05,179.32,55.99,77,65,14.25
189,Khorramshahr,IR,2020-08-23 03:38:26,30.44,48.17,84.2,45,0,2.24
190,Macklin,CA,2020-08-23 03:38:27,52.33,-109.93,56.12,77,0,2.15
191,Sao Domingos Do Maranhao,BR,2020-08-23 03:38:27,-5.58,-44.39,76.42,62,46,3.98
192,Balkanabat,TM,2020-08-23 03:38:27,39.51,54.37,79.07,45,0,3.85
193,Lubaczow,PL,2020-08-23 03:38:27,50.16,23.12,66.0,97,34,1.99
